"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Data-driven test for creating rooms via API","823","Test 05 - Verify Room Creation via API (DDT)","tests.api","Fri Apr 10 20:06:15 UTC 2026","passed","Fri Apr 10 20:06:16 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"This test verifies that all bookings can be successfully via the API.","380","Test 03 - Verify All Bookings via API","tests.api","Fri Apr 10 20:06:13 UTC 2026","passed","Fri Apr 10 20:06:13 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"This test verifies that all bookings can be successfully via the API.","403","Test 03 - Verify All Bookings via API","tests.api","Tue Apr 07 10:32:29 UTC 2026","passed","Tue Apr 07 10:32:29 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"This Test Verifies that an administrator cannot sign in with invalid credentials and remains logged out","10855","Test 01 - Administrator Sign-in with Unvalid user name and password","tests.web","Thu Apr 09 13:27:26 UTC 2026","passed","Thu Apr 09 13:27:37 UTC 2026","TestHotelBooking","test_web_hotel_booking","",""
"Validates room creation by importing data from a CSV file and verifying the updated room count.","25342","Test 08 - Data Driven: Create Rooms from CSV","tests.web","Wed Apr 22 11:42:03 UTC 2026","passed","Wed Apr 22 11:42:29 UTC 2026","TestHotelBooking","test_web_hotel_booking","",""
"","101","Test 17 - Get Specific Booking","tests.api","Fri Apr 10 18:19:23 UTC 2026","broken","Fri Apr 10 18:19:24 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"This test create booking reservation and updating the name of the reservation","801","Test - 07 Verify Updating Booking via API","tests.api","Fri Apr 10 20:06:18 UTC 2026","passed","Fri Apr 10 20:06:19 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"","956","Test 12 - Create Room and Verify in List","tests.api","Fri Apr 10 20:06:22 UTC 2026","passed","Fri Apr 10 20:06:22 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"This test verifies that a new room can be successfully created via the API","906","Test 04 - Verify Create Room via API","tests.api","Fri Apr 10 20:06:13 UTC 2026","passed","Fri Apr 10 20:06:14 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"This Test Verifies that an administrator cannot sign in with invalid credentials and remains logged out","2924","Test 01 - Administrator Sign-in with Unvalid user name and password","tests.web","Wed Apr 22 11:40:51 UTC 2026","passed","Wed Apr 22 11:40:54 UTC 2026","TestHotelBooking","test_web_hotel_booking","",""
"This test verifies the structure of the branding response using APIVerify.","370","Test 20 - Verify Branding JSON Schema","tests.api","Fri Apr 10 20:06:25 UTC 2026","passed","Fri Apr 10 20:06:25 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"This test Verify that an administrator can successfully sign in","2903","Test 02 - Administrator Sign-in with Valid user name and password","tests.web","Thu Apr 09 13:27:38 UTC 2026","passed","Thu Apr 09 13:27:40 UTC 2026","TestHotelBooking","test_web_hotel_booking","",""
"This test creates a booking and then deletes it to verify the DELETE flow","796","Test 06 - Verify Delete Booking via API","tests.api","Tue Apr 07 10:32:32 UTC 2026","passed","Tue Apr 07 10:32:32 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"","14470","test_11_verify_wrong_dates","tests.web","Wed Apr 22 22:16:11 UTC 2026","failed","Wed Apr 22 22:16:25 UTC 2026","TestHotelBooking","test_web_hotel_booking","",""
"Verifies that all footer contact details and branding information are correctly displayed.","57","Test 09 - Verify Footer Information","tests.web","Wed Apr 22 11:42:29 UTC 2026","passed","Wed Apr 22 11:42:29 UTC 2026","TestHotelBooking","test_web_hotel_booking","",""
